area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
"Whiteside County, IL",4,5,0,"28,620","27,349","1,271",4.4,"57,197",87.9
"Will County, IL",1,1,1,"357,854","343,007","14,847",4.1,"86,108",132.3
"Williamson County, IL",3,2,1,"32,154","30,551","1,603",5.0,"46,187",71.0
"Winnebago County, IL",2,2,1,"141,472","133,567","7,905",5.6,"53,795",82.7
"Woodford County, IL",2,2,1,"19,093","18,326",767,4.0,"72,247",111.0
Indiana,,,,"3,381,609","3,263,751","117,858",3.5,"55,725",100.0
"Adams County, IN",6,5,0,"17,489","17,026",463,2.6,"56,693",101.7
"Allen County, IN",2,2,1,"184,636","178,696","5,940",3.2,"54,473",97.8
"Bartholomew County, IN",3,2,1,"45,116","43,908","1,208",2.7,"63,067",113.2
"Benton County, IN",3,2,1,"4,561","4,411",150,3.3,"51,649",92.7
"Blackford County, IN",6,6,0,"5,322","5,114",208,3.9,"45,161",81.0
"Boone County, IN",1,1,1,"36,188","35,194",994,2.7,"85,876",154.1
"Brown County, IN",1,1,1,"7,692","7,444",248,3.2,"60,944",109.4
"Carroll County, IN",3,2,1,"10,225","9,885",340,3.3,"57,092",102.5
"Cass County, IN",4,5,0,"18,254","17,573",681,3.7,"48,598",87.2
"Clark County, IN",1,1,1,"61,874","59,724","2,150",3.5,"56,774",101.9
"Clay County, IN",3,2,1,"12,325","11,837",488,4.0,"52,699",94.6
"Clinton County, IN",6,3,0,"17,180","16,687",493,2.9,"51,730",92.8
"Crawford County, IN",8,4,0,"4,950","4,725",225,4.5,"44,152",79.2
"Daviess County, IN",7,8,0,"16,508","16,054",454,2.8,"55,434",99.5
"Dearborn County, IN",1,1,1,"25,872","24,913",959,3.7,"66,502",119.3
"Decatur County, IN",6,3,0,"14,943","14,491",452,3.0,"57,441",103.1
"DeKalb County, IN",4,5,0,"22,497","21,850",647,2.9,"58,987",105.9
"Delaware County, IN",3,2,1,"54,144","51,938","2,206",4.1,"43,096",77.3
"Dubois County, IN",5,8,0,"23,328","22,742",586,2.5,"62,126",111.5
"Elkhart County, IN",3,2,1,"115,999","112,944","3,055",2.6,"59,251",106.3
"Fayette County, IN",6,3,0,"9,156","8,726",430,4.7,"47,737",85.7
"Floyd County, IN",1,1,1,"41,805","40,407","1,398",3.3,"64,992",116.6
"Fountain County, IN",6,6,0,"8,095","7,798",297,3.7,"53,493",96.0
"Franklin County, IN",6,4,0,"11,401","10,972",429,3.8,"62,251",111.7
"Fulton County, IN",7,9,0,"9,999","9,658",341,3.4,"52,798",94.7
"Gibson County, IN",6,6,0,"19,427","18,902",525,2.7,"56,960",102.2
"Grant County, IN",4,3,0,"32,169","30,916","1,253",3.9,"45,138",81.0
"Greene County, IN",6,6,0,"13,739","13,124",615,4.5,"46,835",84.0
"Hamilton County, IN",1,1,1,"182,986","177,963","5,023",2.7,"101,740",182.6
"Hancock County, IN",1,1,1,"40,131","38,898","1,233",3.1,"73,831",132.5
"Harrison County, IN",1,1,1,"20,413","19,699",714,3.5,"60,379",108.4
"Hendricks County, IN",1,1,1,"89,577","86,951","2,626",2.9,"80,834",145.1
"Henry County, IN",4,3,0,"22,418","21,621",797,3.6,"50,183",90.1
"Howard County, IN",3,2,1,"37,427","35,875","1,552",4.1,"55,365",99.4
"Huntington County, IN",6,5,0,"18,378","17,719",659,3.6,"53,809",96.6
"Jackson County, IN",4,5,0,"22,818","22,158",660,2.9,"55,518",99.6
"Jasper County, IN",1,1,1,"16,469","15,815",654,4.0,"66,720",119.7
"Jay County, IN",6,6,0,"9,777","9,449",328,3.4,"48,392",86.8
"Jefferson County, IN",6,3,0,"15,107","14,585",522,3.5,"51,031",91.6
"Jennings County, IN",6,5,0,"13,599","13,099",500,3.7,"51,560",92.5
"Johnson County, IN",1,1,1,"82,656","80,240","2,416",2.9,"69,880",125.4
"Knox County, IN",5,8,0,"18,851","18,246",605,3.2,"48,606",87.2
"Kosciusko County, IN",4,5,0,"42,731","41,592","1,139",2.7,"57,367",102.9
"LaGrange County, IN",6,6,0,"20,641","20,118",523,2.5,"67,498",121.1
"Lake County, IN",1,1,1,"231,860","220,240","11,620",5.0,"55,280",99.2
"LaPorte County, IN",3,2,1,"48,085","45,961","2,124",4.4,"52,095",93.5
"Lawrence County, IN",6,5,0,"21,129","20,307",822,3.9,"53,187",95.4
"Madison County, IN",1,1,1,"58,987","56,649","2,338",4.0,"49,522",88.9
"Marion County, IN",1,1,1,"488,698","471,316","17,382",3.6,"48,409",86.9
"Marshall County, IN",6,5,0,"23,363","22,613",750,3.2,"55,766",100.1
"Martin County, IN",7,9,0,"5,217","5,071",146,2.8,"55,444",99.5
"Miami County, IN",6,5,0,"15,830","15,188",642,4.1,"47,624",85.5
"Monroe County, IN",3,2,1,"69,558","67,018","2,540",3.7,"48,883",87.7
"Montgomery County, IN",6,3,0,"19,104","18,517",587,3.1,"53,700",96.4
"Morgan County, IN",1,1,1,"36,280","35,030","1,250",3.4,"66,151",118.7
"Newton County, IN",1,1,1,"7,056","6,745",311,4.4,"53,060",95.2
"Noble County, IN",6,5,0,"23,649","22,947",702,3.0,"61,341",110.1
"Ohio County, IN",1,1,1,"3,189","3,075",114,3.6,"58,022",104.1
"Orange County, IN",6,4,0,"8,570","8,231",339,4.0,"44,968",80.7
"Owen County, IN",3,2,1,"9,338","8,926",412,4.4,"49,731",89.2
"Parke County, IN",6,4,0,"7,152","6,861",291,4.1,"49,639",89.1
"Perry County, IN",6,6,0,"9,330","8,981",349,3.7,"52,332",93.9
"Pike County, IN",8,5,0,"6,136","5,919",217,3.5,"54,265",97.4
"Porter County, IN",1,1,1,"87,378","83,988","3,390",3.9,"69,298",124.4
"Posey County, IN",2,2,1,"13,715","13,323",392,2.9,"68,162",122.3
"Pulaski County, IN",6,4,0,"6,507","6,303",204,3.1,"49,730",89.2
"Putnam County, IN",1,1,1,"16,770","16,126",644,3.8,"54,718",98.2
"Randolph County, IN",6,6,0,"11,615","11,156",459,4.0,"46,441",83.3
"Ripley County, IN",6,4,0,"14,106","13,592",514,3.6,"57,436",103.1
"Rush County, IN",6,4,0,"9,037","8,775",262,2.9,"53,271",95.6
"St. Joseph County, IN",2,2,1,"136,494","131,569","4,925",3.6,"54,674",98.1
"Scott County, IN",1,1,1,"10,623","10,204",419,3.9,"44,913",80.6
"Shelby County, IN",1,1,1,"23,094","22,365",729,3.2,"57,193",102.6
"Spencer County, IN",8,7,0,"10,979","10,614",365,3.3,"56,862",102.0
"Starke County, IN",6,4,0,"10,409","9,949",460,4.4,"49,972",89.7
"Steuben County, IN",7,8,0,"20,315","19,766",549,2.7,"58,295",104.6
"Sullivan County, IN",3,2,1,"8,597","8,191",406,4.7,"47,554",85.3
"Switzerland County, IN",8,4,0,"5,072","4,872",200,3.9,"47,713",85.6
"Tippecanoe County, IN",3,2,1,"98,133","94,963","3,170",3.2,"52,269",93.8
"Tipton County, IN",6,4,0,"9,234","8,973",261,2.8,"60,896",109.3
"Union County, IN",1,1,1,"3,564","3,450",114,3.2,"50,300",90.3
"Vanderburgh County, IN",2,2,1,"95,029","91,968","3,061",3.2,"50,500",90.6
"Vermillion County, IN",3,2,1,"7,161","6,762",399,5.6,"49,287",88.4
"Vigo County, IN",3,2,1,"49,125","46,941","2,184",4.4,"48,335",86.7
"Wabash County, IN",6,5,0,"14,991","14,467",524,3.5,"51,487",92.4
"Warren County, IN",8,7,0,"4,207","4,070",137,3.3,"60,596",108.7
"Warrick County, IN",2,2,1,"33,209","32,221",988,3.0,"75,534",135.5
"Washington County, IN",1,1,1,"13,828","13,335",493,3.6,"44,534",79.9
"Wayne County, IN",5,8,0,"31,261","30,124","1,137",3.6,"45,130",81.0
"Wells County, IN",2,2,1,"14,396","13,985",411,2.9,"60,010",107.7
"White County, IN",6,6,0,"13,682","13,257",425,3.1,"58,380",104.8
"Whitley County, IN",2,2,1,"17,671","17,157",514,2.9,"67,758",121.6
Iowa,,,,"1,690,960","1,646,708","44,252",2.6,"60,071",100.0
"Adair County, IA",8,7,0,"4,136","4,035",101,2.4,"54,282",90.4
"Adams County, IA",9,12,0,"2,117","2,075",42,2.0,"51,577",85.9
"Allamakee County, IA",6,6,0,"7,374","7,141",233,3.2,"53,359",88.8
"Appanoose County, IA",7,9,0,"5,890","5,687",203,3.4,"44,298",73.7
"Audubon County, IA",8,7,0,"3,090","3,012",78,2.5,"51,210",85.2
"Benton County, IA",2,2,1,"13,339","12,965",374,2.8,"62,799",104.5
"Black Hawk County, IA",3,2,1,"68,546","66,567","1,979",2.9,"52,320",87.1
"Boone County, IA",6,5,0,"14,843","14,515",328,2.2,"63,099",105.0
"Bremer County, IA",3,2,1,"13,807","13,516",291,2.1,"74,646",124.3
"Buchanan County, IA",6,6,0,"11,221","10,924",297,2.6,"59,724",99.4
"Buena Vista County, IA",7,8,0,"11,541","11,292",249,2.2,"52,683",87.7
"Butler County, IA",8,7,0,"7,819","7,597",222,2.8,"57,971",96.5
"Calhoun County, IA",9,10,0,"4,285","4,173",112,2.6,"54,865",91.3
"Carroll County, IA",7,11,0,"10,819","10,611",208,1.9,"60,531",100.8
"Cass County, IA",6,6,0,"7,104","6,909",195,2.7,"50,356",83.8
"Cedar County, IA",6,6,0,"10,785","10,514",271,2.5,"67,597",112.5
"Cerro Gordo County, IA",5,8,0,"23,294","22,665",629,2.7,"51,939",86.5
"Cherokee County, IA",6,6,0,"5,984","5,851",133,2.2,"56,312",93.7
"Chickasaw County, IA",6,6,0,"6,417","6,239",178,2.8,"64,190",106.9
"Clarke County, IA",6,6,0,"4,817","4,676",141,2.9,"52,541",87.5
"Clay County, IA",7,8,0,"8,529","8,246",283,3.3,"56,338",93.8
"Clayton County, IA",8,7,0,"10,144","9,813",331,3.3,"53,968",89.8
"Clinton County, IA",4,5,0,"22,685","21,931",754,3.3,"51,317",85.4
"Crawford County, IA",7,11,0,"8,166","7,880",286,3.5,"54,828",91.3
"Dallas County, IA",2,2,1,"48,655","47,789",866,1.8,"87,267",145.3
"Davis County, IA",9,8,0,"4,211","4,094",117,2.8,"54,830",91.3
"Decatur County, IA",9,12,0,"4,332","4,231",101,2.3,"41,101",68.4
"Delaware County, IA",6,6,0,"10,433","10,210",223,2.1,"61,342",102.1
"Des Moines County, IA",5,8,0,"19,441","18,784",657,3.4,"51,805",86.2
"Dickinson County, IA",7,8,0,"9,844","9,522",322,3.3,"55,603",92.6
"Dubuque County, IA",3,2,1,"55,332","53,949","1,383",2.5,"60,367",100.5
"Emmet County, IA",7,9,0,"5,298","5,148",150,2.8,"51,497",85.7
"Fayette County, IA",6,6,0,"10,515","10,193",322,3.1,"50,893",84.7
"Floyd County, IA",7,9,0,"8,825","8,580",245,2.8,"53,811",89.6
"Franklin County, IA",7,9,0,"5,779","5,653",126,2.2,"59,367",98.8
"Fremont County, IA",8,6,0,"3,717","3,645",72,1.9,"54,658",91.0
"Greene County, IA",6,6,0,"5,390","5,264",126,2.3,"51,861",86.3
"Grundy County, IA",3,2,1,"6,507","6,339",168,2.6,"65,060",108.3
"Guthrie County, IA",2,2,1,"5,539","5,390",149,2.7,"60,306",100.4
"Hamilton County, IA",6,6,0,"6,947","6,754",193,2.8,"56,738",94.5
"Hancock County, IA",7,9,0,"5,971","5,828",143,2.4,"60,859",101.3
"Hardin County, IA",6,6,0,"8,245","8,003",242,2.9,"55,303",92.1
"Harrison County, IA",2,2,1,"7,256","7,089",167,2.3,"60,044",100.0
"Henry County, IA",6,6,0,"9,718","9,471",247,2.5,"55,856",93.0
"Howard County, IA",6,6,0,"5,186","5,051",135,2.6,"53,500",89.1
"Humboldt County, IA",7,9,0,"5,191","5,057",134,2.6,"60,166",100.2
"Ida County, IA",8,7,0,"4,092","4,009",83,2.0,"60,312",100.4
"Iowa County, IA",6,6,0,"10,427","10,204",223,2.1,"64,188",106.9
"Jackson County, IA",6,6,0,"10,946","10,633",313,2.9,"54,663",91.0
"Jasper County, IA",6,5,0,"19,356","18,828",528,2.7,"60,378",100.5
"Jefferson County, IA",7,8,0,"9,724","9,498",226,2.3,"46,715",77.8
"Johnson County, IA",3,2,1,"85,689","83,976","1,713",2.0,"64,387",107.2
"Jones County, IA",2,2,1,"10,576","10,251",325,3.1,"55,405",92.2
"Keokuk County, IA",8,7,0,"5,149","4,996",153,3.0,"52,122",86.8
"Kossuth County, IA",7,11,0,"8,508","8,330",178,2.1,"55,486",92.4
"Lee County, IA",5,8,0,"15,963","15,301",662,4.1,"48,241",80.3
"Linn County, IA",2,2,1,"120,292","116,835","3,457",2.9,"64,878",108.0
"Louisa County, IA",8,7,0,"6,055","5,890",165,2.7,"49,585",82.5
"Lucas County, IA",6,6,0,"4,493","4,401",92,2.0,"49,956",83.2
"Lyon County, IA",8,6,0,"6,983","6,873",110,1.6,"69,048",114.9
"Madison County, IA",2,2,1,"8,425","8,149",276,3.3,"74,794",124.5
"Mahaska County, IA",7,8,0,"11,701","11,402",299,2.6,"56,492",94.0
"Marion County, IA",6,6,0,"17,876","17,497",379,2.1,"63,491",105.7
"Marshall County, IA",4,5,0,"18,038","17,211",827,4.6,"59,552",99.1
"Mills County, IA",2,2,1,"7,269","7,111",158,2.2,"64,271",107.0
"Mitchell County, IA",7,9,0,"5,920","5,810",110,1.9,"59,558",99.1
"Monona County, IA",6,6,0,"4,453","4,327",126,2.8,"50,530",84.1
"Monroe County, IA",7,9,0,"3,901","3,783",118,3.0,"56,541",94.1
"Montgomery County, IA",6,6,0,"4,927","4,803",124,2.5,"49,966",83.2
"Muscatine County, IA",4,5,0,"21,771","21,173",598,2.7,"58,465",97.3
"O'Brien County, IA",7,9,0,"8,109","7,943",166,2.0,"53,147",88.5
"Osceola County, IA",7,9,0,"3,519","3,449",70,2.0,"60,627",100.9
"Page County, IA",6,6,0,"6,394","6,229",165,2.6,"54,313",90.4
"Palo Alto County, IA",7,9,0,"4,863","4,753",110,2.3,"55,322",92.1
"Plymouth County, IA",3,2,1,"14,664","14,375",289,2.0,"66,360",110.5
"Pocahontas County, IA",9,10,0,"4,345","4,264",81,1.9,"55,865",93.0
"Polk County, IA",2,2,1,"264,091","257,086","7,005",2.7,"68,479",114.0
"Pottawattamie County, IA",2,2,1,"47,670","46,511","1,159",2.4,"56,337",93.8
"Poweshiek County, IA",7,9,0,"10,461","10,207",254,2.4,"56,170",93.5
"Ringgold County, IA",9,12,0,"2,526","2,454",72,2.9,"48,754",81.2
"Sac County, IA",9,10,0,"5,294","5,165",129,2.4,"56,698",94.4
"Scott County, IA",2,2,1,"87,810","85,144","2,666",3.0,"59,865",99.7
"Shelby County, IA",6,6,0,"6,651","6,514",137,2.1,"58,862",98.0
"Sioux County, IA",7,11,0,"20,487","20,110",377,1.8,"70,162",116.8
"Story County, IA",3,2,1,"57,864","56,909",955,1.7,"57,464",95.7
"Tama County, IA",6,6,0,"9,487","9,196",291,3.1,"56,954",94.8
"Taylor County, IA",9,10,0,"3,236","3,170",66,2.0,"47,781",79.5
"Union County, IA",6,6,0,"6,372","6,139",233,3.7,"49,887",83.0
"Van Buren County, IA",9,10,0,"3,712","3,610",102,2.7,"47,905",79.7
"Wapello County, IA",5,8,0,"17,677","17,051",626,3.5,"48,226",80.3
"Warren County, IA",2,2,1,"27,787","27,130",657,2.4,"78,192",130.2
"Washington County, IA",3,2,1,"11,969","11,676",293,2.4,"65,849",109.6
"Wayne County, IA",9,12,0,"2,768","2,690",78,2.8,"46,725",77.8
"Webster County, IA",5,8,0,"19,164","18,519",645,3.4,"52,093",86.7
"Winnebago County, IA",7,9,0,"5,001","4,867",134,2.7,"54,433",90.6
"Winneshiek County, IA",7,11,0,"11,787","11,463",324,2.7,"61,807",102.9
"Woodbury County, IA",3,2,1,"55,010","53,584","1,426",2.6,"60,059",100.0
"Worth County, IA",9,8,0,"4,167","4,050",117,2.8,"58,587",97.5
"Wright County, IA",7,9,0,"6,462","6,289",173,2.7,"54,802",91.2
Kansas,,,,"1,477,847","1,429,229","48,618",3.3,"58,150",100.0
"Allen County, KS",7,11,0,"6,323","6,076",247,3.9,"44,423",76.4
"Anderson County, KS",6,4,0,"4,113","3,973",140,3.4,"50,646",87.1
"Atchison County, KS",6,3,0,"6,997","6,681",316,4.5,"49,332",84.8
"Barber County, KS",9,12,0,"2,377","2,318",59,2.5,"47,634",81.9
"Barton County, KS",7,8,0,"13,510","13,081",429,3.2,"49,991",86.0
"Bourbon County, KS",6,4,0,"7,078","6,788",290,4.1,"41,807",71.9
"Brown County, KS",6,6,0,"5,360","5,200",160,3.0,"47,529",81.7
"Butler County, KS",2,2,1,"31,912","30,836","1,076",3.4,"65,953",113.4
"Chase County, KS",9,10,0,"1,464","1,426",38,2.6,"50,981",87.7
"Chautauqua County, KS",8,7,0,"1,412","1,357",55,3.9,"41,129",70.7
"Cherokee County, KS",6,6,0,"10,019","9,652",367,3.7,"44,475",76.5
"Cheyenne County, KS",9,12,0,"1,308","1,278",30,2.3,"43,274",74.4
"Clark County, KS",9,10,0,"1,061","1,036",25,2.4,"51,235",88.1
"Clay County, KS",6,6,0,"3,779","3,660",119,3.1,"52,681",90.6
"Cloud County, KS",7,9,0,"3,779","3,652",127,3.4,"44,467",76.5
"Coffey County, KS",6,6,0,"4,080","3,891",189,4.6,"58,371",100.4
"Comanche County, KS",9,12,0,883,862,21,2.4,"46,818",80.5
"Cowley County, KS",4,5,0,"16,769","16,208",561,3.3,"47,864",82.3
"Crawford County, KS",4,5,0,"18,732","18,000",732,3.9,"43,852",75.4
"Decatur County, KS",9,12,0,"1,251","1,215",36,2.9,"44,774",77.0
"Dickinson County, KS",7,9,0,"9,091","8,779",312,3.4,"50,605",87.0
"Doniphan County, KS",3,2,1,"4,144","3,999",145,3.5,"50,949",87.6
"Douglas County, KS",3,2,1,"65,119","63,156","1,963",3.0,"57,120",98.2
"Edwards County, KS",9,10,0,"1,491","1,456",35,2.3,"46,962",80.8
"Elk County, KS",8,7,0,"1,167","1,128",39,3.3,"37,360",64.2
"Ellis County, KS",5,8,0,"16,886","16,493",393,2.3,"53,840",92.6
"Ellsworth County, KS",7,9,0,"2,681","2,608",73,2.7,"50,261",86.4
"Finney County, KS",5,8,0,"20,451","19,954",497,2.4,"56,206",96.7
"Ford County, KS",5,8,0,"17,228","16,801",427,2.5,"56,052",96.4
"Franklin County, KS",6,3,0,"13,999","13,507",492,3.5,"58,033",99.8
"Geary County, KS",4,5,0,"11,395","10,868",527,4.6,"50,856",87.5
"Gove County, KS",9,12,0,"1,415","1,385",30,2.1,"49,626",85.3
"Graham County, KS",9,12,0,"1,138","1,103",35,3.1,"41,906",72.1
"Grant County, KS",7,9,0,"3,335","3,244",91,2.7,"61,614",106.0
"Gray County, KS",9,10,0,"3,403","3,336",67,2.0,"65,771",113.1
"Greeley County, KS",9,12,0,855,838,17,2.0,"51,606",88.7
"Greenwood County, KS",6,6,0,"3,228","3,117",111,3.4,"43,083",74.1
"Hamilton County, KS",9,10,0,"1,620","1,589",31,1.9,"51,559",88.7
"Harper County, KS",8,7,0,"2,731","2,655",76,2.8,"45,570",78.4
"Harvey County, KS",2,2,1,"16,719","16,190",529,3.2,"57,934",99.6
"Haskell County, KS",9,10,0,"2,190","2,144",46,2.1,"60,808",104.6
"Hodgeman County, KS",9,10,0,982,958,24,2.4,"54,058",93.0
"Jackson County, KS",3,2,1,"7,176","6,965",211,2.9,"56,330",96.9
"Jefferson County, KS",3,2,1,"10,124","9,803",321,3.2,"69,246",119.1
"Jewell County, KS",9,12,0,"1,282","1,248",34,2.7,"44,271",76.1
"Johnson County, KS",1,1,1,"335,617","326,067","9,550",2.8,"87,087",149.8
"Kearny County, KS",9,8,0,"2,079","2,032",47,2.3,"63,248",108.8
"Kingman County, KS",2,2,1,"3,389","3,282",107,3.2,"56,005",96.3
"Kiowa County, KS",9,10,0,"1,299","1,268",31,2.4,"64,399",110.7
"Labette County, KS",7,8,0,"10,181","9,785",396,3.9,"44,571",76.6
"Lane County, KS",9,12,0,788,766,22,2.8,"59,240",101.9
"Leavenworth County, KS",1,1,1,"36,155","34,856","1,299",3.6,"70,807",121.8
"Lincoln County, KS",9,10,0,"1,696","1,655",41,2.4,"44,439",76.4
"Linn County, KS",1,1,1,"4,402","4,146",256,5.8,"47,153",81.1
"Logan County, KS",9,12,0,"1,680","1,645",35,2.1,"50,267",86.4
"Lyon County, KS",4,5,0,"16,548","15,975",573,3.5,"47,982",82.5
"McPherson County, KS",7,8,0,"16,468","16,059",409,2.5,"58,017",99.8
"Marion County, KS",6,6,0,"6,015","5,831",184,3.1,"51,712",88.9
"Marshall County, KS",6,6,0,"5,466","5,326",140,2.6,"51,066",87.8
"Meade County, KS",9,10,0,"2,271","2,225",46,2.0,"67,220",115.6
"Miami County, KS",1,1,1,"17,341","16,726",615,3.5,"71,770",123.4
"Mitchell County, KS",7,11,0,"3,440","3,365",75,2.2,"51,514",88.6
"Montgomery County, KS",5,8,0,"14,726","14,106",620,4.2,"42,479",73.1
"Morris County, KS",8,6,0,"2,994","2,914",80,2.7,"49,287",84.8
"Morton County, KS",9,12,0,"1,166","1,129",37,3.2,"53,785",92.5
"Nemaha County, KS",6,6,0,"5,460","5,336",124,2.3,"59,567",102.4
"Neosho County, KS",7,9,0,"5,976","5,691",285,4.8,"46,176",79.4
"Ness County, KS",9,12,0,"1,330","1,295",35,2.6,"51,757",89.0
"Norton County, KS",7,11,0,"2,736","2,679",57,2.1,"47,252",81.3
"Osage County, KS",3,2,1,"8,003","7,706",297,3.7,"53,864",92.6
"Osborne County, KS",9,12,0,"2,036","1,986",50,2.5,"46,101",79.3
"Ottawa County, KS",9,8,0,"3,000","2,917",83,2.8,"56,451",97.1
"Pawnee County, KS",7,9,0,"2,902","2,812",90,3.1,"47,039",80.9
"Phillips County, KS",7,11,0,"2,766","2,698",68,2.5,"47,405",81.5
"Pottawatomie County, KS",3,2,1,"12,442","12,105",337,2.7,"69,975",120.3
"Pratt County, KS",7,11,0,"4,938","4,806",132,2.7,"52,567",90.4
"Rawlins County, KS",9,12,0,"1,470","1,440",30,2.0,"46,638",80.2
"Reno County, KS",4,5,0,"29,591","28,544","1,047",3.5,"49,341",84.9
"Republic County, KS",9,12,0,"2,407","2,343",64,2.7,"48,566",83.5
"Rice County, KS",7,9,0,"5,272","5,121",151,2.9,"51,686",88.9
"Riley County, KS",3,2,1,"35,134","34,146",988,2.8,"47,057",80.9
"Rooks County, KS",9,10,0,"2,510","2,432",78,3.1,"47,365",81.5
"Rush County, KS",9,10,0,"1,647","1,603",44,2.7,"44,121",75.9
"Russell County, KS",7,9,0,"3,358","3,261",97,2.9,"45,879",78.9
"Saline County, KS",5,8,0,"30,165","29,266",899,3.0,"53,961",92.8
"Scott County, KS",7,9,0,"2,849","2,794",55,1.9,"63,790",109.7
"Sedgwick County, KS",2,2,1,"246,776","237,636","9,140",3.7,"56,381",97.0
"Seward County, KS",5,8,0,"9,544","9,242",302,3.2,"50,671",87.1
"Shawnee County, KS",3,2,1,"90,498","87,401","3,097",3.4,"53,612",92.2
"Sheridan County, KS",9,12,0,"1,418","1,387",31,2.2,"50,553",86.9
"Sherman County, KS",7,11,0,"2,887","2,808",79,2.7,"45,966",79.0
"Smith County, KS",9,12,0,"1,960","1,913",47,2.4,"41,899",72.1
"Stafford County, KS",9,10,0,"1,966","1,915",51,2.6,"47,835",82.3
"Stanton County, KS",9,12,0,999,974,25,2.5,"60,136",103.4
"Stevens County, KS",7,9,0,"2,592","2,518",74,2.9,"58,817",101.1
"Sumner County, KS",2,2,1,"10,719","10,349",370,3.5,"56,946",97.9
"Thomas County, KS",7,11,0,"4,257","4,151",106,2.5,"55,345",95.2
"Trego County, KS",9,10,0,"1,376","1,334",42,3.1,"48,520",83.4
"Wabaunsee County, KS",3,2,1,"3,652","3,539",113,3.1,"59,744",102.7
"Wallace County, KS",9,12,0,819,799,20,2.4,"51,350",88.3
"Washington County, KS",9,12,0,"2,926","2,849",77,2.6,"48,104",82.7
"Wichita County, KS",9,12,0,"1,314","1,287",27,2.1,"59,800",102.8
"Wilson County, KS",7,10,0,"4,000","3,829",171,4.3,"45,697",78.6
"Woodson County, KS",9,12,0,"1,592","1,524",68,4.3,"43,894",75.5
"Wyandotte County, KS",1,1,1,"76,791","73,124","3,667",4.8,"47,084",81.0
Kentucky,,,,"2,057,791","1,968,611","89,180",4.3,"50,189",100.0
"Adair County, KY",7,9,0,"7,203","6,845",358,5.0,"37,392",74.5
"Allen County, KY",3,2,1,"8,925","8,588",337,3.8,"44,624",88.9
"Anderson County, KY",6,3,0,"11,916","11,487",429,3.6,"60,908",121.4
"Ballard County, KY",9,8,0,"3,538","3,291",247,7.0,"47,658",95.0
"Barren County, KY",6,5,0,"19,055","18,208",847,4.4,"42,439",84.6
"Bath County, KY",8,5,0,"4,615","4,303",312,6.8,"44,183",88.0
"Bell County, KY",7,8,0,"8,489","7,957",532,6.3,"29,362",58.5
"Boone County, KY",1,1,1,"70,694","68,308","2,386",3.4,"77,696",154.8
"Bourbon County, KY",2,2,1,"9,700","9,313",387,4.0,"48,614",96.9
"Boyd County, KY",2,2,1,"17,944","16,882","1,062",5.9,"48,020",95.7
"Boyle County, KY",7,8,0,"12,575","12,016",559,4.4,"47,528",94.7
"Bracken County, KY",1,1,1,"3,814","3,627",187,4.9,"56,432",112.4
"Breathitt County, KY",7,12,0,"3,623","3,360",263,7.3,"31,182",62.1
"Breckinridge County, KY",8,7,0,"7,954","7,525",429,5.4,"47,284",94.2
"Bullitt County, KY",1,1,1,"42,769","41,040","1,729",4.0,"61,022",121.6
"Butler County, KY",3,2,1,"5,111","4,859",252,4.9,"43,048",85.8
"Caldwell County, KY",7,9,0,"5,391","5,134",257,4.8,"43,659",87.0
"Calloway County, KY",7,8,0,"18,760","18,025",735,3.9,"41,873",83.4
"Campbell County, KY",1,1,1,"50,542","48,876","1,666",3.3,"60,904",121.3
"Carlisle County, KY",9,10,0,"2,258","2,146",112,5.0,"41,249",82.2
"Carroll County, KY",6,4,0,"5,254","5,038",216,4.1,"47,623",94.9
"Carter County, KY",6,6,0,"9,846","8,938",908,9.2,"32,906",65.6
"Casey County, KY",9,10,0,"6,720","6,405",315,4.7,"34,358",68.5
"Christian County, KY",2,2,1,"24,569","23,250","1,319",5.4,"40,299",80.3
"Clark County, KY",2,2,1,"17,155","16,446",709,4.1,"50,162",99.9
"Clay County, KY",7,10,0,"5,220","4,853",367,7.0,"28,146",56.1
"Clinton County, KY",9,12,0,"3,871","3,660",211,5.5,"31,118",62.0
"Crittenden County, KY",7,9,0,"3,867","3,668",199,5.1,"43,624",86.9
"Cumberland County, KY",9,10,0,"3,122","2,983",139,4.5,"33,541",66.8
"Daviess County, KY",3,2,1,"47,505","45,602","1,903",4.0,"51,441",102.5
"Edmonson County, KY",3,2,1,"4,816","4,559",257,5.3,"43,151",86.0
"Elliott County, KY",9,12,0,"2,053","1,861",192,9.4,"35,446",70.6
"Estill County, KY",6,6,0,"5,324","5,034",290,5.4,"35,701",71.1
"Fayette County, KY",2,2,1,"174,380","168,569","5,811",3.3,"55,358",110.3
"Fleming County, KY",7,9,0,"6,087","5,754",333,5.5,"42,571",84.8
"Floyd County, KY",7,11,0,"10,928","10,214",714,6.5,"33,218",66.2
"Franklin County, KY",4,3,0,"25,006","24,075",931,3.7,"53,134",105.9
"Fulton County, KY",9,8,0,"2,034","1,918",116,5.7,"32,355",64.5
"Gallatin County, KY",1,1,1,"4,071","3,906",165,4.1,"49,060",97.8
"Garrard County, KY",6,6,0,"7,671","7,328",343,4.5,"51,203",102.0
